ID,DISTRICT,TEHSIL,RURAL_URBAN,RIVER_BASIN,WATER_SHED,UNION_COUNCIL,Sampled_UC_Status,Male,Female
1,Chagai,Dalbandin,Rural,Hamun-e-Mushkhel,Nokundi,AMRI,Actual,20,4
2,Chagai,Dalbandin,Rural,Hamun-e-Mushkhel,Gowanakkoh,CHALGAZI,Actual,20,4
3,Chagai,Nokkundi,Rural,Hamun-e-Mushkhel,Nokundi,NOKKUNDI,Actual,20,4
4,Kalat,Kalat,Rural,Hamun-e-Mushkhel,Kharan,CHAPPAR,Actual,20,4
5,Kalat,Kalat,Rural,Hamun-e-Mushkhel,Kharan,DASHT GOWRAN,Actual,20,4
6,Kharan,Tomulk,Rural,Hamun-e-Mushkhel,Kharan,JAMAK,Reserved,20,4
7,Kharan,Tomulk,Rural,Hamun-e-Mushkhel,Kharan,TOH MALIK,Actual,20,4
8,Kharan,Sar Kharan,Rural,Hamun-e-Mushkhel,Kharan,JODA QALAT,Actual,20,4
9,Kharan,Kharan,Rural,Hamun-e-Mushkhel,Kharan,SARAWAN,Actual,20,4
10,Kharan,Kharan,Rural,Hamun-e-Mushkhel,Kharan,RASKHO,Actual,20,4
11,Shaheed Sikandarabad,Surab,Rural,Hamun-e-Mushkhel,Kharan,SHANA,Actual,20,4
12,Shaheed Sikandarabad,Surab,Rural,Hamun-e-Mushkhel,Kharan,MARAAP,Reserved,20,4
13,Shaheed Sikandarabad,Surab,Rural,Hamun-e-Mushkhel,Kharan,HATIARI,Actual,20,4
14,Washuk,Nag,Rural,Hamun-e-Mushkhel,Kharan,NAAG,Actual,20,4
15,Washuk,Basima,Rural,Hamun-e-Mushkhel,Kharan,BASIMAH,Actual,20,4
16,Washuk,Mashkhel,Rural,Hamun-e-Mushkhel,Duzab,SOTGAN,Actual,20,4
17,Washuk,Mashkhel,Rural,Hamun-e-Mushkhel,Duzab,LAGASHT,Actual,20,4
18,Washuk,Shaogari,Rural,Hamun-e-Mushkhel,Kharan,GATRANG,Reserved,20,4
19,Washuk,Washuk,Rural,Hamun-e-Mushkhel,Tasp,PALANTAQ,Actual,20,4
20,Awaran,Gishekore,Rural,Hingol,Duddar,TIRTEJ,Actual,20,4
21,Awaran,Awaran,Rural,Hingol,Duddar,AWARAN,Actual,20,4
22,Awaran,Jhal Jhao,Rural,Hingol,Kukari Bent,CAMP JHAO,Reserved,20,4
23,Awaran,Mashkai,Rural,Hingol,Hudishi,GUJJAR,Actual,20,4
24,Panjgur,Gichk,Rural,Hingol,Sorap,GICHK,Actual,20,4
25,Kech,Kech (turbat),Rural,Hingol,Duddar,BLORE,Actual,20,4
26,Kech,Kech (turbat),Rural,Hingol,Duddar,DANDAR,Reserved,20,4
27,Kech,Kech (turbat),Rural,Hingol,Duddar,HOSHAB,Actual,20,4
